wohnflaeche;grundstueckflaeche;zimmer;category;basement;year;efficiency_rating;condition;floors;terrace;type;price;id;plz;street;city;district;kontextlabel;kontextWert
117;1760;4;einfamilienhaus;1.19;2022;2.8;1.2;1.9;Terasse;Massivhaus;237270;65899445;38368;Am Sandblessen;Rennau;;1;2300
158;1760;5;einfamilienhaus;1.19;2020;2.8;1.2;1.9;Terrasse ;KfW 70. Massivhaus;249100;99985967;38368;Straße nicht freigegeben;Grasleben;Rennau;1;2300
145;1760;5;einfamilienhaus;1.19;2022;2.8;1.2;1.9;Terrasse ;KfW 70. Massivhaus;229000;46673013;38368;Straße nicht freigegeben;Querenhorst;;1;2300
140;1760;5;einfamilienhaus;1.19;2022;2.8;1.2;1.9;Terrasse ;KfW 70. Massivhaus;214900;16784219;38368;Straße nicht freigegeben;Grasleben;Rennau;1;2300
140;1760;5;einfamilienhaus;1.19;2022;2.8;1.2;1.9;Terrasse ;KfW 70. Massivhaus;215100;59176540;38368;Straße nicht freigegeben;Querenhorst;;1;2300
174;822;4;einfamilienhaus;1.19;2012;2.8;1.2;1.9;Terasse;Massivhaus;689000;13841111;21379;Straße nicht freigegeben;Scharnebeck;;2;3050
102;236;4;einfamilienhaus;2;1994;5;1.2;1.9;Terrasse ;Massivhaus;389000;95420965;21379;Straße nicht freigegeben;Scharnebeck;;2;3050
149;290.35;5;doppelhaushälfte;1.19;2018;8;1.2;1.9;Terasse;Massivhaus;429000;72452093;21379;Straße nicht freigegeben;Echem;;2;3050
200;1032;7;einfamilienhaus;1;1934;0;1.2;1;Terrasse ;Massivhaus;399000;78007907;21379;Im Fuchsloch 9;Scharnebeck;;2;3050
145;290.35;5;doppelhaushälfte;1.19;2018;8;1.2;1.9;Terasse;Massivhaus;349000;64112117;21379;Straße nicht freigegeben;Echem;;2;3050
147;814;6;einfamilienhaus;0;2017;3;1.2;1.9;Terasse;Massivhaus;650000;88997046;21379;Straße nicht freigegeben;Scharnebeck;;2;3050
215;1475;8;mehrfamilienhaus;2;1981;2;1.2;1.9;Terrasse. Garten. Gartenanteil ;Massivhaus;705000;44271823;21379;Straße nicht freigegeben;Scharnebeck;;2;3050
132;716;3;einfamilienhaus;0;2014;6;1.2;1.9;Terrasse ;Massivhaus;650000;91026377;21379;Straße nicht freigegeben;RullstorfBoltersen;;2;3050
149;290.35;5;doppelhaushälfte;1.19;2018;8;1.2;1.9;Terasse;Massivhaus;399000;58073049;21379;Straße nicht freigegeben;Echem;;2;3050
152;1092;5;einfamilienhaus;1;2015;3;1;1.9;Terasse;Massivhaus;549000;39028354;21379;Straße nicht freigegeben;Scharnebeck;;2;3050
