wohnflaeche;grundstueckflaeche;zimmer;category;basement;year;efficiency_rating;condition;price;id;plz;street;city;district;kontextlabel;kontextWert
100.0;404.0;4.0;einfamilienhaus;1;1924;0;1;185000;28042289;26721;Straße nicht freigegeben;Emden;Harsweg;9;2150
202.0;1219.0;10.0;einfamilienhaus;1;1973;4;1;185000;99301144;37445;Straße nicht freigegeben;Walkenried;;1;950
129.0;1116.0;6.0;einfamilienhaus;2;1998;1;3;185000;17174689;38387;Straße nicht freigegeben;Söllingen;;1;1050
265.0;826.0;13.0;mehrfamilienhaus;2;1959;5;3;185000;97275220;38667;Straße nicht freigegeben;BadHarzburg;Schlewecke;9;1800
121.0;700.0;6.0;doppelhaushälfte;2;1938;0;3;185000;40132598;38229;Straße nicht freigegeben;Salzgitter;Heerte;10;2100
125.0;452.0;5.0;einfamilienhaus;2;1955;1;1;185000;29983361;26826;Straße nicht freigegeben;Weener;;5;1700
125.0;452.0;5.0;einfamilienhaus;2;1955;1;1;185000;56677541;26826;Straße nicht freigegeben;Weener;Holthusen;5;1700
95.76;696.0;4.0;einfamilienhaus;2;1962;0;3;185000;27595611;38229;Straße nicht freigegeben;SalzgitterEngerode;;10;2100
162.84;3541.0;8.0;einfamilienhaus;2;1970;2;3;189000;89819097;37603;Straße nicht freigegeben;HolzmindenSilberborn;;5;1850
270.0;960.0;8.0;mehrfamilienhaus;1;1903;0;1;189000;61453205;27751;Straße nicht freigegeben;Delmenhorst;Bungerhof;10;2650
75.0;140.0;4.0;doppelhaushälfte;1;1936;2;0;189000;19134745;26135;Straße nicht freigegeben;Oldenburg;Neuenwege;10;3600
200.0;557.0;7.0;einfamilienhaus;1;1920;0;1;189000;44746713;26802;Straße nicht freigegeben;Moormerland;Oldersum;6;2100
68.0;350.0;3.0;doppelhaushälfte;2;1953;0;1;189000;86538087;30826;Straße nicht freigegeben;Garbsen;Osterwald U. E.;11;3350
77.0;1130.0;4.0;doppelhaushälfte;2;1958;0;1;189000;88756192;29392;Straße nicht freigegeben;Wesendorf;;1;1950
65.0;430.0;3.0;doppelhaushälfte;2;1956;0;3;189000;81206109;38524;Straße nicht freigegeben;Sassenburg;Triangel;1;2750
77.0;1130.0;4.0;doppelhaushälfte;2;1958;0;1;189000;20530347;29392;Straße nicht freigegeben;Wesendorf;;1;1950
123.0;210.0;7.0;mehrfamilienhaus;2;1953;1;3;189000;44419508;26723;Straße nicht freigegeben;Emden;;9;2150
